Date,Open,High,Low,Close,Adj Close,Volume
2019-06-06,0.860000,0.860000,0.840000,0.850000,0.784032,4709600
2019-06-07,0.850000,0.870000,0.850000,0.865000,0.797868,5907500
2019-06-10,0.875000,0.945000,0.875000,0.945000,0.871659,14086200
2019-06-11,0.945000,0.995000,0.945000,0.990000,0.913166,16584300
2019-06-12,0.990000,1.010000,0.965000,0.970000,0.894719,11791100
2019-06-13,0.970000,1.000000,0.955000,1.000000,0.922390,9210100
2019-06-14,1.010000,1.030000,0.990000,0.995000,0.917778,14771200
2019-06-17,0.995000,1.010000,0.985000,0.995000,0.917778,4551400
2019-06-18,0.995000,1.030000,0.985000,1.030000,0.950062,9288800
2019-06-19,1.060000,1.070000,1.050000,1.060000,0.977733,11735000
2019-06-20,1.070000,1.080000,1.060000,1.060000,0.977733,6041000
2019-06-21,1.070000,1.070000,1.040000,1.060000,0.977733,6074500
2019-06-24,1.050000,1.060000,1.030000,1.050000,0.968510,3134300
2019-06-25,1.040000,1.040000,1.000000,1.000000,0.922390,7620000
2019-06-26,0.995000,1.020000,0.995000,1.000000,0.922390,5763100
2019-06-27,1.010000,1.050000,1.010000,1.040000,0.959286,10175300
2019-06-28,1.040000,1.040000,1.010000,1.030000,0.950062,3822100
2019-07-01,1.070000,1.090000,1.070000,1.080000,0.996181,12353200
2019-07-02,1.070000,1.070000,1.050000,1.060000,0.977733,4682400
2019-07-03,1.060000,1.070000,1.040000,1.060000,0.977733,4348200
2019-07-04,1.070000,1.070000,1.040000,1.040000,0.959286,2967700
2019-07-05,1.040000,1.050000,1.020000,1.030000,0.950062,5225400
2019-07-08,1.030000,1.030000,1.000000,1.020000,0.940838,4390800
2019-07-09,1.020000,1.030000,1.010000,1.030000,0.950062,4264400
2019-07-10,1.050000,1.070000,1.040000,1.050000,0.968510,7936700
2019-07-11,1.060000,1.060000,1.030000,1.040000,0.959286,3862400
2019-07-12,1.040000,1.050000,1.030000,1.040000,0.959286,3496200
2019-07-15,1.050000,1.060000,1.030000,1.050000,0.968510,6979600
2019-07-16,1.050000,1.060000,1.030000,1.030000,0.950062,3811400
2019-07-17,1.030000,1.040000,1.020000,1.040000,0.959286,2575900
2019-07-18,1.030000,1.110000,1.030000,1.100000,1.014629,27321100
2019-07-19,1.120000,1.150000,1.120000,1.130000,1.042301,16315700
2019-07-22,1.130000,1.130000,1.110000,1.130000,1.042301,3757900
2019-07-23,1.140000,1.160000,1.140000,1.160000,1.069973,12723300
2019-07-24,1.160000,1.160000,1.120000,1.120000,1.033077,5959900
2019-07-25,1.130000,1.160000,1.130000,1.140000,1.051525,5704100
2019-07-26,1.180000,1.230000,1.160000,1.220000,1.125316,27238400
2019-07-29,1.220000,1.230000,1.200000,1.200000,1.106868,5863000
2019-07-30,1.210000,1.240000,1.190000,1.210000,1.116092,8062000
2019-07-31,1.200000,1.220000,1.160000,1.180000,1.088420,10631200
2019-08-01,1.170000,1.200000,1.170000,1.190000,1.097644,6403500
2019-08-02,1.160000,1.190000,1.140000,1.140000,1.051525,10483400
2019-08-05,1.130000,1.130000,1.070000,1.080000,0.996181,10223100
2019-08-06,1.030000,1.110000,1.020000,1.110000,1.023853,15612600
2019-08-07,1.120000,1.130000,1.080000,1.090000,1.005405,9623000
2019-08-08,1.100000,1.150000,1.070000,1.120000,1.033077,15047500
2019-08-13,1.110000,1.120000,1.080000,1.090000,1.005405,7813800
2019-08-14,1.130000,1.140000,1.110000,1.110000,1.023853,11261800
2019-08-15,1.080000,1.120000,1.080000,1.120000,1.033077,6425200
2019-08-16,1.120000,1.130000,1.110000,1.130000,1.042301,6164600
2019-08-19,1.140000,1.170000,1.140000,1.150000,1.060749,13380600
2019-08-20,1.160000,1.170000,1.140000,1.140000,1.051525,6960800
2019-08-21,1.140000,1.180000,1.140000,1.180000,1.088420,6323800
2019-08-22,1.180000,1.190000,1.150000,1.150000,1.060749,5215500
2019-08-23,1.160000,1.160000,1.140000,1.150000,1.060749,3009800
2019-08-26,1.090000,1.120000,1.080000,1.110000,1.023853,13455000
2019-08-27,1.120000,1.120000,1.080000,1.090000,1.005405,6365700
2019-08-28,1.090000,1.110000,1.040000,1.040000,0.959286,6999200
2019-08-29,1.030000,1.080000,1.020000,1.080000,1.015714,6974300
2019-08-30,1.090000,1.100000,1.060000,1.060000,0.996905,5963700
2019-09-02,1.060000,1.080000,1.050000,1.070000,1.006309,5770000
2019-09-03,1.060000,1.080000,1.050000,1.060000,0.996905,3198300
2019-09-04,1.060000,1.120000,1.060000,1.110000,1.043929,9922500
2019-09-05,1.120000,1.130000,1.090000,1.090000,1.025119,5247600
2019-09-06,1.120000,1.130000,1.100000,1.120000,1.053333,4895300
2019-09-09,1.120000,1.130000,1.110000,1.110000,1.043929,1950100
2019-09-10,1.120000,1.130000,1.100000,1.110000,1.043929,3010800
2019-09-11,1.110000,1.150000,1.110000,1.140000,1.072143,10481200
2019-09-12,1.160000,1.170000,1.140000,1.150000,1.081548,10426600
2019-09-13,1.180000,1.200000,1.170000,1.190000,1.119167,12247200
2019-09-16,1.190000,1.200000,1.170000,1.190000,1.119167,6891900
2019-09-17,1.190000,1.190000,1.170000,1.190000,1.119167,4308000
